# This file contains a self-published geofeed as defined in http://tools.ietf.org/html/draft-google-self-published-geofeeds-02 (draft02)
# Last modified: 2024-01-12 10:00:04.023528
# prefix, country, subdivision, city, postal_code
2600:3c00::/32,US,US-TX,Richardson,
2600:3c01::/32,US,US-CA,Fremont,
2600:3c02::/32,US,US-GA,Atlanta,
2400:8903::/32,US,US-NJ,Cedar Knolls,
2a01:7e00::/32,GB,GB-ENG,London,
2400:8901::/32,SG,SG-04,Singapore,
2a01:7e01::/32,DE,DE-HE,Frankfurt,
172.234.209.0/24,US,US-IL,Chicago,
172.234.210.0/24,US,US-IL,Chicago,
172.234.211.0/24,US,US-IL,Chicago,
178.79.175.0/24,GB,GB-ENG,London,
185.3.92.0/24,GB,GB-ENG,London,
185.3.93.0/24,GB,GB-ENG,London,
212.71.236.0/24,GB,GB-ENG,London,
